,Mus musculus,Rattus norvegicus,Panthera leo,Triturus cristatus,Ateles paniscus,Branta canadensis,Camelus dromedarius,Cebus albifrons,Crocodylus siamensis,Echinops telfairi,Erinaceus europaeus,Hippopotamus amphibius,Lagothrix lagotricha,Lutra lutra,Macaca mulatta,Mellivora capensis,Microtus xanthognathus,Nasua nasua,Tursiops truncatus,Anas platyrhynchos,Camelus bactrianus,Cavia porcellus,Crocuta crocuta,Elephas maximus,Lama guanicoe,Martes foina,Mustela putorius,Paguma larvata,Sminthopsis crassicaudata,Struthio camelus,Tragelaphus strepsiceros,Tapirus terrestris,Callimico goeldii,Colobus guereza,Lama glama,Macropus giganteus,Phalacrocorax carbo,Papio cynocephalus,Rhinolophus ferrumequinum,Squalus acanthias,Vultur gryphus,Panthera onca,Aquila chrysaetos,Ateles geoffroyi,Balaenoptera acutorostrata,Bos taurus,Ceratotherium simum,Crocodylus niloticus,Dasyurus viverrinus,Equus zebra,Homo sapiens,Papio anubis,Saimiri sciureus,Scalopus aquaticus,Ovis aries,Ursus thibetanus,Accipiter gentilis,Ailuropoda melanoleuca,Alligator mississippiensis,Antrozous pallidus,Canis latrans,Cebus capucinus,Chlorocebus aethiops,Chrysocyon brachyurus,Dasypus novemcinctus,Didelphis virginiana,Equus caballus,Lama vicugna,Physeter catodon,Procyon lotor,Oryctolagus cuniculus,Talpa europaea,Ursus maritimus,Aotus trivirgatus,Bradypus tridactylus,Bubalus bubalis,Caretta caretta,Gallus gallus,Columba livia,Helarctos malayanus,Lepus europaeus,Loxodonta africana,Macropus rufus,Meles meles,Myotis velifer,Ornithorhynchus anatinus,Potorous tridactylus,Tadarida brasiliensis,Thunnus thynnus,Vulpes vulpes,Sus scrofa,Rhea americana,Saguinus fuscicollis,Suncus murinus,Trichechus inunguis,Lemur catta,Lynx lynx,Macropus eugenii,Ondatra zibethicus,Phoca vitulina,Pongo pygmaeus,Pteronura brasiliensis,Rangifer tarandus,Rhinoceros unicornis,Mammuthus primigenius,Mesoplodon densirostris,Balaenoptera omurai,Lipotes vexillifer,Delphinapterus leucas,Sousa chinensis,Neophocaena phocaenoides,Kogia sima
Mus musculus,0
Cavia porcellus,47800000,47800000,99275000,338650000,66450000,316350000,87325000,66450000,316350000,93075000,88177000,87325000,66450000,99275000,66450000,99275000,47800000,99275000,109550000,316350000,87325000,0
Crocuta crocuta,99275000,99275000,27525000,338650000,99275000,316350000,87325000,99275000,316350000,70850000,88177000,87325000,99275000,57350000,99275000,57350000,99275000,57350000,109550000,316350000,87325000,99275000,0
Elephas maximus,93075000,93075000,70850000,338650000,93075000,316350000,87325000,93075000,316350000,62525000,88177000,87325000,93075000,70850000,93075000,70850000,93075000,70850000,109550000,316350000,87325000,93075000,70850000,0
Lama guanicoe,87325000,87325000,87325000,338650000,87325000,316350000,19500000,87325000,316350000,87325000,88177000,49650000,87325000,87325000,87325000,87325000,87325000,87325000,109550000,316350000,19500000,87325000,87325000,87325000,0
Martes foina,99275000,99275000,57350000,338650000,99275000,316350000,87325000,99275000,316350000,70850000,88177000,87325000,99275000,19927500,99275000,17415000,99275000,44675000,109550000,316350000,87325000,99275000,57350000,70850000,87325000,0
Mustela putorius,99275000,99275000,57350000,338650000,99275000,316350000,87325000,99275000,316350000,70850000,88177000,87325000,99275000,19927500,99275000,17415000,99275000,44675000,109550000,316350000,87325000,99275000,57350000,70850000,87325000,19860000,0
Paguma larvata,99275000,99275000,30557500,338650000,99275000,316350000,87325000,99275000,316350000,70850000,88177000,87325000,99275000,57350000,99275000,57350000,99275000,57350000,109550000,316350000,87325000,99275000,22532500,70850000,87325000,57350000,57350000,0
Sminthopsis crassicaudata,144850000,144850000,144850000,338650000,144850000,316350000,144850000,144850000,316350000,144850000,88177000,144850000,144850000,144850000,144850000,144850000,144850000,144850000,109550000,316350000,144850000,144850000,144850000,144850000,144850000,144850000,144850000,144850000,0
Struthio camelus,316350000,316350000,316350000,338650000,316350000,100750000,316350000,316350000,249467500,316350000,316350000,316350000,316350000,316350000,316350000,316350000,316350000,316350000,316350000,100750000,316350000,316350000,316350000,316350000,316350000,316350000,316350000,316350000,316350000,0
Tragelaphus strepsiceros,87325000,87325000,87325000,338650000,87325000,316350000,48200000,87325000,316350000,87325000,88177000,49650000,87325000,87325000,87325000,87325000,87325000,87325000,109550000,316350000,48200000,87325000,87325000,87325000,48200000,87325000,87325000,87325000,144850000,316350000,0
