Organism A,Organism B,Ancestor age,Rate
Hippopotamus amphibius,Mus musculus,87325000,2495000.0
Hippopotamus amphibius,Rattus norvegicus,87325000,2728906.25
Hippopotamus amphibius,Panthera leo,87325000,2910833.3333333335
Hippopotamus amphibius,Triturus cristatus,338650000,4455921.052631579
Hippopotamus amphibius,Ateles paniscus,87325000,4366250.0
Hippopotamus amphibius,Branta canadensis,316350000,6877173.9130434785
Hippopotamus amphibius,Camelus dromedarius,49650000,2364285.714285714
Hippopotamus amphibius,Cebus albifrons,87325000,4158333.3333333335
Hippopotamus amphibius,Crocodylus siamensis,316350000,4652205.882352941
Hippopotamus amphibius,Echinops telfairi,87325000,2239102.564102564
Hippopotamus amphibius,Erinaceus europaeus,88177000,3391423.076923077
Lagothrix lagotricha,Mus musculus,66450000,2215000.0
Lagothrix lagotricha,Rattus norvegicus,66450000,2461111.111111111
Lagothrix lagotricha,Panthera leo,99275000,3545535.714285714
Lagothrix lagotricha,Triturus cristatus,338650000,4341666.666666667
Lagothrix lagotricha,Ateles paniscus,5850,975.0
Lagothrix lagotricha,Branta canadensis,316350000,6877173.9130434785
Lagothrix lagotricha,Camelus dromedarius,87325000,3796739.1304347827
Lagothrix lagotricha,Cebus albifrons,32327925,5387987.5
Lagothrix lagotricha,Crocodylus siamensis,316350000,4584782.608695652
Lagothrix lagotricha,Echinops telfairi,93075000,2585416.6666666665
Lagothrix lagotricha,Erinaceus europaeus,88177000,3391423.076923077
Lagothrix lagotricha,Hippopotamus amphibius,87325000,3796739.1304347827
Lutra lutra,Mus musculus,99275000,3545535.714285714
Lutra lutra,Rattus norvegicus,99275000,3545535.714285714
Lutra lutra,Panthera leo,57350000,2389583.3333333335
Lutra lutra,Triturus cristatus,338650000,4639041.095890411
Lutra lutra,Ateles paniscus,99275000,8272916.666666667
Lutra lutra,Branta canadensis,316350000,7356976.7441860465
Lutra lutra,Camelus dromedarius,87325000,3493000.0
Lutra lutra,Cebus albifrons,99275000,7636538.461538462
Lutra lutra,Crocodylus siamensis,316350000,4652205.882352941
Lutra lutra,Echinops telfairi,70850000,1968055.5555555555
Lutra lutra,Erinaceus europaeus,88177000,4198904.761904762
Lutra lutra,Hippopotamus amphibius,87325000,3969318.1818181816
Lutra lutra,Lagothrix lagotricha,99275000,9025000.0
Macaca mulatta,Mus musculus,66450000,2076562.5
Macaca mulatta,Rattus norvegicus,66450000,2215000.0
Macaca mulatta,Panthera leo,99275000,3423275.8620689656
Macaca mulatta,Triturus cristatus,338650000,4576351.3513513515
Macaca mulatta,Ateles paniscus,25062500,3580357.1428571427
Macaca mulatta,Branta canadensis,316350000,7189772.7272727275
Macaca mulatta,Camelus dromedarius,87325000,3493000.0
Macaca mulatta,Cebus albifrons,32327925,3232792.5
Macaca mulatta,Crocodylus siamensis,316350000,4652205.882352941
Macaca mulatta,Echinops telfairi,93075000,2737500.0
Macaca mulatta,Erinaceus europaeus,88177000,3265814.814814815
Macaca mulatta,Hippopotamus amphibius,87325000,3969318.1818181816
Macaca mulatta,Lagothrix lagotricha,25062500,2506250.0
Macaca mulatta,Lutra lutra,99275000,9025000.0
Mellivora capensis,Mus musculus,99275000,3545535.714285714
Mellivora capensis,Rattus norvegicus,99275000,3545535.714285714
Mellivora capensis,Panthera leo,57350000,2493478.2608695654
Mellivora capensis,Triturus cristatus,338650000,4639041.095890411
Mellivora capensis,Ateles paniscus,99275000,7636538.461538462
Mellivora capensis,Branta canadensis,316350000,7532142.857142857
Mellivora capensis,Camelus dromedarius,87325000,3358653.846153846
Mellivora capensis,Cebus albifrons,99275000,9025000.0
Mellivora capensis,Crocodylus siamensis,316350000,4652205.882352941
Mellivora capensis,Echinops telfairi,70850000,1968055.5555555555
Mellivora capensis,Erinaceus europaeus,88177000,4408850.0
Mellivora capensis,Hippopotamus amphibius,87325000,4158333.3333333335
Mellivora capensis,Lagothrix lagotricha,99275000,9025000.0
Mellivora capensis,Lutra lutra,15827500,7913750.0
Mellivora capensis,Macaca mulatta,99275000,9025000.0
Microtus xanthognathus,Mus musculus,37025000,1000675.6756756756
Microtus xanthognathus,Rattus norvegicus,37025000,1088970.5882352942
Microtus xanthognathus,Panthera leo,99275000,1909134.6153846155
Microtus xanthognathus,Triturus cristatus,338650000,4398051.948051948
Microtus xanthognathus,Ateles paniscus,66450000,1476666.6666666667
Microtus xanthognathus,Branta canadensis,316350000,5454310.344827586
Microtus xanthognathus,Camelus dromedarius,87325000,1679326.923076923
Microtus xanthognathus,Cebus albifrons,66450000,1444565.2173913044
Microtus xanthognathus,Crocodylus siamensis,316350000,4162500.0
Microtus xanthognathus,Echinops telfairi,93075000,1756132.075471698
Microtus xanthognathus,Erinaceus europaeus,88177000,1916891.3043478262
