,Mus musculus,Rattus norvegicus,Panthera leo,Triturus cristatus,Ateles paniscus,Branta canadensis,Camelus dromedarius,Cebus albifrons,Crocodylus siamensis,Echinops telfairi,Erinaceus europaeus,Hippopotamus amphibius,Lagothrix lagotricha,Lutra lutra,Macaca mulatta,Mellivora capensis,Microtus xanthognathus,Nasua nasua,Tursiops truncatus,Anas platyrhynchos,Camelus bactrianus,Cavia porcellus,Crocuta crocuta,Elephas maximus,Lama guanicoe,Martes foina,Mustela putorius,Paguma larvata,Sminthopsis crassicaudata,Struthio camelus,Tragelaphus strepsiceros,Tapirus terrestris,Callimico goeldii,Colobus guereza,Lama glama,Macropus giganteus,Phalacrocorax carbo,Papio cynocephalus,Rhinolophus ferrumequinum,Squalus acanthias,Vultur gryphus,Panthera onca,Aquila chrysaetos,Ateles geoffroyi,Balaenoptera acutorostrata,Bos taurus,Ceratotherium simum,Crocodylus niloticus,Dasyurus viverrinus,Equus zebra,Homo sapiens,Papio anubis,Saimiri sciureus,Scalopus aquaticus,Ovis aries,Ursus thibetanus,Accipiter gentilis,Ailuropoda melanoleuca,Alligator mississippiensis,Antrozous pallidus,Canis latrans,Cebus capucinus,Chlorocebus aethiops,Chrysocyon brachyurus,Dasypus novemcinctus,Didelphis virginiana,Equus caballus,Lama vicugna,Physeter catodon,Procyon lotor,Oryctolagus cuniculus,Talpa europaea,Ursus maritimus,Aotus trivirgatus,Bradypus tridactylus,Bubalus bubalis,Caretta caretta,Gallus gallus,Columba livia,Helarctos malayanus,Lepus europaeus,Loxodonta africana,Macropus rufus,Meles meles,Myotis velifer,Ornithorhynchus anatinus,Potorous tridactylus,Tadarida brasiliensis,Thunnus thynnus,Vulpes vulpes,Sus scrofa,Rhea americana,Saguinus fuscicollis,Suncus murinus,Trichechus inunguis,Lemur catta,Lynx lynx,Macropus eugenii,Ondatra zibethicus,Phoca vitulina,Pongo pygmaeus,Pteronura brasiliensis,Rangifer tarandus,Rhinoceros unicornis,Aythya affinis,Aythya marila,Myodes glareolus,Peromyscus leucopus,Marmota flaviventris,Peromyscus maniculatus,Tamias minimus,Peromyscus polionotus,Peromyscus gossypinus,Peromyscus eremicus,Peromyscus boylii,Castor fiber,Marmota caligata,Peromyscus truei,Ammotragus lervia,Mammuthus primigenius,Mesoplodon densirostris,Orycteropus afer,Panthera pardus,Balaenoptera omurai,Panthera tigris,Lipotes vexillifer,Delphinapterus leucas,Sousa chinensis,Ochotona princeps,Branta bernicla,Aythya americana,Cygnus atratus,Melanitta nigra,Melanitta perspicillata,Bucephala albeola,Bos indicus,Neophocaena phocaenoides,Kogia sima,Bison bison,Somateria mollissima,Aythya valisineria,Mergus merganser,Bucephala clangula,Mareca americana,Anas carolinensis,Aythya collaris,Anser albifrons,Lophodytes cucullatus,Histrionicus histrionicus,Tadorna tadornoides,Cygnus columbianus,Cygnus buccinator,Mergus serrator,Spatula clypeata,Melanitta fusca,Anas acuta
Mus musculus
Gallus gallus,4108441.5584415584,6083653.846153846,6456122.448979592,4515333.333333333,7356976.7441860465,15512000.0,5968867.924528302,7030000.0,4706933.962264151,5454310.344827586,7908750.0,6877173.9130434785,7030000.0,7189772.7272727275,7189772.7272727275,7356976.7441860465,5272500.0,7356976.7441860465,3636206.896551724,25853333.333333332,5968867.924528302,5858333.333333333,6327000.0,6590625.0,5858333.333333333,7189772.7272727275,6877173.9130434785,6456122.448979592,7532142.857142857,9695000.0,6083653.846153846,6327000.0,7189772.7272727275,2727155.172413793,5858333.333333333,6590625.0,8617777.777777778,7030000.0,7189772.7272727275,5666369.047619048,10627777.777777778,6456122.448979592,8617777.777777778,7030000.0,7030000.0,5858333.333333333,6730851.063829787,4619768.518518519,3905555.5555555555,6730851.063829787,4393750.0,7189772.7272727275,6730851.063829787,6590625.0,6202941.176470588,7532142.857142857,5966153.846153846,7030000.0,4376622.807017544,6730851.063829787,7356976.7441860465,7030000.0,7030000.0,7356976.7441860465,5858333.333333333,7030000.0,6730851.063829787,5858333.333333333,6877173.9130434785,7356976.7441860465,6590625.0,6730851.063829787,7532142.857142857,7030000.0,5858333.333333333,5550000.0,5541836.734693877
Columba livia,4108441.5584415584,6202941.176470588,6730851.063829787,4639041.095890411,7189772.7272727275,8088461.538461538,6202941.176470588,7189772.7272727275,4535772.7272727275,5751818.181818182,7908750.0,7189772.7272727275,6877173.9130434785,7532142.857142857,7030000.0,7532142.857142857,5550000.0,7532142.857142857,3954375.0,8088461.538461538,6202941.176470588,6202941.176470588,6730851.063829787,6456122.448979592,6083653.846153846,7356976.7441860465,7030000.0,6730851.063829787,8787500.0,7196428.571428572,6456122.448979592,6730851.063829787,7030000.0,2750869.565217391,6083653.846153846,7356976.7441860465,6455000.0,7189772.7272727275,7189772.7272727275,5734638.554216867,5978125.0,6730851.063829787,3678125.0,6877173.9130434785,7189772.7272727275,6202941.176470588,6877173.9130434785,4619768.518518519,4162500.0,7189772.7272727275,4275000.0,7030000.0,6877173.9130434785,7356976.7441860465,6456122.448979592,7908750.0,3461764.705882353,6730851.063829787,4376622.807017544,6877173.9130434785,7356976.7441860465,7189772.7272727275,7189772.7272727275,7356976.7441860465,5858333.333333333,7356976.7441860465,6877173.9130434785,6083653.846153846,6877173.9130434785,7908750.0,7030000.0,7532142.857142857,7908750.0,7189772.7272727275,6083653.846153846,5858333.333333333,5657291.666666667,5170666.666666667
Helarctos malayanus,1341554.054054054,2545512.8205128205,3018421.052631579,4703472.222222222,7091071.428571428,7532142.857142857,3796739.1304347827,7636538.461538462,4793181.818181818,2083823.5294117648,4408850.0,4366250.0,7091071.428571428,6382142.857142857,7091071.428571428,5584375.0,2112234.0425531915,3470277.777777778,1521527.7777777778,7532142.857142857,3796739.1304347827,2919852.9411764704,4096428.5714285714,2361666.6666666665,3638541.6666666665,6382142.857142857,5584375.0,4411538.461538462,3621250.0,7356976.7441860465,3638541.6666666665,2491964.285714286,7636538.461538462,945476.1904761905,3638541.6666666665,4138571.4285714286,7908750.0,7636538.461538462,4510714.285714285,5949687.5,7356976.7441860465,3018421.052631579,7356976.7441860465,6204687.5,5477500.0,3493000.0,2584259.2592592593,4942968.75,2040140.8450704226,2491964.285714286,1741666.6666666667,7091071.428571428,5839705.882352941,2180468.75,3234259.2592592593,7189772.7272727275,491281.25,4455633.802816901,2870454.5454545454,5484375.0,7636538.461538462,7636538.461538462,5484375.0,1814864.8648648649,3532926.8292682925,2406034.4827586208,3638541.6666666665,4382000.0,2839318.1818181816,5839705.882352941,3672368.4210526315,9025000.0,2098437.5,2910833.3333333335,5550000.0,7532142.857142857,7908750.0
Lepus europaeus,799013.1578947369,1557051.282051282,3423275.8620689656,4341666.666666667,4746428.571428572,6456122.448979592,3638541.6666666665,4153125.0,4721641.791044776,2515540.5405405406,2939233.3333333335,3358653.846153846,4746428.571428572,5839705.882352941,4153125.0,5839705.882352941,1292021.2765957448,5839705.882352941,1542957.7464788733,6456122.448979592,3638541.6666666665,1786029.4117647058,3676851.8518518517,3324107.1428571427,3638541.6666666665,6204687.5,6204687.5,3545535.714285714,3448809.523809524,6327000.0,3234259.2592592593,3172413.793103448,4430000.0,621028.0373831776,3638541.6666666665,3714102.564102564,6730851.063829787,3908823.529411765,4963750.0,5804573.1707317075,6590625.0,3423275.8620689656,6327000.0,4746428.571428572,6846875.0,3118750.0,3285714.285714286,4793181.818181818,1984246.5753424657,3833333.3333333335,1253773.5849056605,4153125.0,4746428.571428572,2358974.358974359,2816935.4838709678,5225000.0,6456122.448979592,5839705.882352941,4393750.0,4316304.347826087,4512500.0,3908823.529411765,3908823.529411765,4512500.0,2708333.3333333335,3292045.4545454546,4000000.0,3638541.6666666665,4763043.478260869,5839705.882352941,3627050.0,3066666.6666666665,5225000.0,4153125.0,2979166.6666666665,2646212.121212121,4866923.076923077,6456122.448979592,6877173.9130434785,5225000.0
Loxodonta africana,1224671.0526315789,2068333.3333333333,1816666.6666666667,4576351.3513513515,3102500.0,6730851.063829787,3011206.896551724,3102500.0,5102419.354838709,1525000.0,2593441.1764705884,2816935.4838709678,3209482.7586206896,2361666.6666666665,3102500.0,2443103.4482758623,1861500.0,2530357.1428571427,1521527.7777777778,6590625.0,3011206.896551724,2386538.4615384615,2024285.7142857143,26915750.0,3118750.0,2361666.6666666665,2285483.870967742,2083823.5294117648,3448809.523809524,6327000.0,2646212.121212121,1673026.3157894737,3209482.7586206896,853899.0825688073,3118750.0,3621250.0,6730851.063829787,2908593.75,2530357.1428571427,5408806.818181818,6456122.448979592,1816666.6666666667,6456122.448979592,3209482.7586206896,4382000.0,2568382.3529411764,1926515.1515151516,5021428.571428572,1931333.3333333333,1816428.5714285714,1389179.1044776118,3002419.35483871,3209482.7586206896,1352659.574468085,2568382.3529411764,2285483.870967742,6730851.063829787,2443103.4482758623,4866923.076923077,2214062.5,2361666.6666666665,3102500.0,3102500.0,2361666.6666666665,1792647.0588235294,3292045.4545454546,1869852.9411764706,3118750.0,4382000.0,2725000.0,3324107.1428571427,1589375.0,2285483.870967742,3002419.35483871,1904687.5,2239102.564102564,4942968.75,6590625.0,6456122.448979592,2285483.870967742,3324107.1428571427
Macropus rufus,1857051.282051282,2956122.448979592,3017708.3333333335,4455921.052631579,3811842.1052631577,7030000.0,3532926.8292682925,3914864.864864865,4866923.076923077,2785576.923076923,2672030.303030303,3621250.0,3811842.1052631577,4389393.939393939,4023611.111111111,4389393.939393939,2840196.0784313725,3811842.1052631577,1335975.6097560977,6877173.9130434785,3532926.8292682925,3292045.4545454546,3368604.6511627906,3621250.0,3448809.523809524,4260294.117647059,4023611.111111111,3292045.4545454546,1590775.8620689656,6730851.063829787,3368604.6511627906,3448809.523809524,3714102.564102564,1293303.5714285714,3448809.523809524,3075500.0,7030000.0,4260294.117647059,3621250.0,5470977.011494253,6730851.063829787,3017708.3333333335,6877173.9130434785,3714102.564102564,2960810.810810811,3368604.6511627906,3621250.0,5021428.571428572,668586.9565217391,3532926.8292682925,2099275.362318841,4138571.4285714286,3714102.564102564,3081914.8936170214,3368604.6511627906,4138571.4285714286,7030000.0,3914864.864864865,4793181.818181818,3914864.864864865,4138571.4285714286,3914864.864864865,4023611.111111111,4138571.4285714286,3017708.3333333335,2553125.0,3448809.523809524,3448809.523809524,2882894.736842105,4138571.4285714286,3811842.1052631577,3218888.888888889,4138571.4285714286,3914864.864864865,3148913.0434782607,2897000.0,5361864.406779661,6730851.063829787,7532142.857142857,4138571.4285714286,3811842.1052631577,3621250.0
Meles meles,1323666.6666666667,2421341.463414634,2389583.3333333335,4639041.095890411,7091071.428571428,7030000.0,3358653.846153846,9025000.0,4721641.791044776,1864473.6842105263,3833782.6086956523,3796739.1304347827,7636538.461538462,4730000.0,7636538.461538462,4101875.0,2026020.4081632653,4963888.888888889,1565000.0,7030000.0,3358653.846153846,2836428.5714285714,3186111.111111111,2530357.1428571427,3234259.2592592593,4101500.0,2929642.8571428573,3018421.052631579,3532926.8292682925,6877173.9130434785,3796739.1304347827,2491964.285714286,6618333.333333333,945476.1904761905,3234259.2592592593,4260294.117647059,7356976.7441860465,8272916.666666667,3946875.0,5876234.567901234,7189772.7272727275,2389583.3333333335,7189772.7272727275,6618333.333333333,5765789.47368421,3638541.6666666665,3033695.652173913,4866923.076923077,2069285.7142857143,2791000.0,1838425.9259259258,7636538.461538462,5839705.882352941,2180468.75,3118750.0,4963888.888888889,7030000.0,6382142.857142857,4519285.714285715,2870454.5454545454,5584375.0,9025000.0,8272916.666666667,5584375.0,1975000.0,3621250.0,2683653.846153846,3234259.2592592593,4382000.0,4061363.6363636362,5515277.777777778,2683653.846153846,4963888.888888889,7636538.461538462,2098437.5,2816935.4838709678,5454310.344827586,7030000.0,7356976.7441860465,4963888.888888889,5839705.882352941,2443103.4482758623,4389393.939393939
Myotis velifer,1306250.0,2308720.930232558,2255357.1428571427,4576351.3513513515,3545535.714285714,6877173.9130434785,2910833.3333333335,3971000.0,4652205.882352941,1647674.4186046512,3149178.5714285714,3118750.0,3676851.8518518517,3007142.8571428573,3545535.714285714,3157500.0,2158152.1739130435,2745652.1739130435,1542957.7464788733,6877173.9130434785,2910833.3333333335,2545512.8205128205,2177586.206896552,2214062.5,2816935.4838709678,3007142.8571428573,2745652.1739130435,2428846.153846154,3621250.0,7030000.0,2728906.25,2114393.9393939395,3423275.8620689656,886383.9285714285,2816935.4838709678,3714102.564102564,7532142.857142857,3818269.230769231,2520000.0,5666369.047619048,7030000.0,2255357.1428571427,7030000.0,3545535.714285714,3912500.0,2728906.25,2406034.4827586208,4793181.818181818,1931333.3333333333,2406034.4827586208,1627459.0163934426,3676851.8518518517,3545535.714285714,1885810.810810811,2816935.4838709678,2631250.0,7030000.0,2745652.1739130435,4652205.882352941,1374027.7777777778,2745652.1739130435,3971000.0,3676851.8518518517,2745652.1739130435,1767105.2631578948,3368604.6511627906,2250806.4516129033,2816935.4838709678,3533870.9677419355,3007142.8571428573,3545535.714285714,2584259.2592592593,2631250.0,3818269.230769231,2315517.2413793104,2298026.3157894737,5272500.0,6877173.9130434785,7189772.7272727275,2631250.0,3545535.714285714,2214062.5,3811842.1052631577,2870454.5454545454
Ornithorhynchus anatinus,2168987.341772152,3295192.3076923075,4393589.743589744,4286708.860759494,5039705.882352941,7030000.0,4759722.222222222,4759722.222222222,4721641.791044776,3569791.6666666665,5192424.242424242,4895714.285714285,4631081.081081081,5527419.354838709,4895714.285714285,5354687.5,3173148.1481481483,5527419.354838709,1516000.0,7189772.7272727275,4759722.222222222,3984883.7209302327,4509210.52631579,4509210.52631579,4631081.081081081,5527419.354838709,5192424.242424242,4393589.743589744,4283750.0,7030000.0,4509210.52631579,4509210.52631579,5039705.882352941,1503070.1754385964,4631081.081081081,4393589.743589744,7532142.857142857,4895714.285714285,5192424.242424242,5599705.882352941,7189772.7272727275,4393589.743589744,7189772.7272727275,4631081.081081081,3667741.935483871,4283750.0,4393589.743589744,4866923.076923077,2196794.871794872,4895714.285714285,2719841.26984127,4759722.222222222,4631081.081081081,3725000.0,4179268.2926829266,5527419.354838709,7532142.857142857,4895714.285714285,4519285.714285715,6119642.857142857,4759722.222222222,4759722.222222222,5039705.882352941,4759722.222222222,3807777.777777778,4179268.2926829266,4895714.285714285,4631081.081081081,3158333.3333333335,5527419.354838709,5039705.882352941,4509210.52631579,5527419.354838709,4895714.285714285,4283750.0,3807777.777777778,5186065.573770491,7356976.7441860465,7532142.857142857,5527419.354838709,5039705.882352941,4509210.52631579,4509210.52631579,5192424.242424242,4895714.285714285
Potorous tridactylus,1881168.831168831,2682407.407407407,3218888.888888889,4515333.333333333,3448809.523809524,7189772.7272727275,3368604.6511627906,3368604.6511627906,4866923.076923077,2897000.0,2844419.35483871,3292045.4545454546,3368604.6511627906,4138571.4285714286,3532926.8292682925,4023611.111111111,2733018.867924528,3621250.0,1335975.6097560977,7030000.0,3368604.6511627906,2956122.448979592,3368604.6511627906,3714102.564102564,3292045.4545454546,4023611.111111111,3811842.1052631577,3368604.6511627906,1774326.923076923,6877173.9130434785,3081914.8936170214,3368604.6511627906,3368604.6511627906,1281858.4070796461,3292045.4545454546,1806000.0,7030000.0,3714102.564102564,3811842.1052631577,5470977.011494253,7030000.0,3218888.888888889,6877173.9130434785,3292045.4545454546,2671951.2195121953,3081914.8936170214,3532926.8292682925,4942968.75,668586.9565217391,3532926.8292682925,1931333.3333333333,3621250.0,3292045.4545454546,3218888.888888889,3017708.3333333335,4138571.4285714286,7189772.7272727275,3621250.0,4721641.791044776,3448809.523809524,4138571.4285714286,3368604.6511627906,3621250.0,4138571.4285714286,3081914.8936170214,2402941.1764705884,3448809.523809524,3292045.4545454546,2808974.358974359,3811842.1052631577,3714102.564102564,3714102.564102564,4138571.4285714286,3532926.8292682925,3292045.4545454546,2785576.923076923,5186065.573770491,6877173.9130434785,7908750.0,4138571.4285714286,3532926.8292682925,3714102.564102564,1935000.0,3914864.864864865,3448809.523809524,4631081.081081081
Tadarida brasiliensis,1240937.5,2206111.111111111,2428846.153846154,4286708.860759494,3818269.230769231,6202941.176470588,2910833.3333333335,4136458.3333333335,4333561.643835616,1610227.2727272727,3265814.814814815,3358653.846153846,3971000.0,3508333.3333333335,3971000.0,3508333.3333333335,2068229.1666666667,2870454.5454545454,1500684.9315068494,6202941.176470588,2910833.3333333335,2545512.8205128205,2338888.888888889,1968055.5555555555,2816935.4838709678,3714705.882352941,3323684.210526316,2338888.888888889,3714102.564102564,6327000.0,2816935.4838709678,2250806.4516129033,3818269.230769231,894369.3693693693,2816935.4838709678,3811842.1052631577,6590625.0,4512500.0,2800000.0,5876234.567901234,6456122.448979592,2428846.153846154,6202941.176470588,3676851.8518518517,4213461.538461538,3011206.896551724,2406034.4827586208,4455633.802816901,1931333.3333333333,2584259.2592592593,1682627.1186440678,4316304.347826087,3676851.8518518517,2052205.8823529412,2568382.3529411764,3323684.210526316,6590625.0,2870454.5454545454,4218000.0,2225000.0,2870454.5454545454,3971000.0,4136458.3333333335,2870454.5454545454,1721794.8717948718,3148913.0434782607,2491964.285714286,2816935.4838709678,3651666.6666666665,3157500.0,4136458.3333333335,3322619.0476190476,3323684.210526316,4316304.347826087,2098437.5,2360135.135135135,5102419.354838709,6202941.176470588,6877173.9130434785,3323684.210526316,4316304.347826087,1968055.5555555555,3914864.864864865,3007142.8571428573,1854166.6666666667,5527419.354838709,4260294.117647059
Thunnus thynnus,4679947.916666667,5759935.897435897,5759935.897435897,5224127.9069767445,5759935.897435897,6606985.294117647,5546604.9382716045,5834740.2597402595,5164080.459770115,5615937.5,6071283.783783784,5759935.897435897,5687025.316455696,5834740.2597402595,5687025.316455696,5834740.2597402595,5285588.235294118,6071283.783783784,4492750.0,6705597.014925373,5546604.9382716045,5687025.316455696,5687025.316455696,5615937.5,5546604.9382716045,5834740.2597402595,5687025.316455696,5546604.9382716045,5834740.2597402595,6705597.014925373,5478963.414634147,6071283.783783784,5687025.316455696,3713016.52892562,5546604.9382716045,5687025.316455696,6511231.884057971,5687025.316455696,5911513.157894737,5118010.752688172,6327816.901408451,5759935.897435897,6511231.884057971,5687025.316455696,5990333.333333333,5615937.5,6239930.555555556,5224127.9069767445,4584438.775510204,5911513.157894737,4779521.276595744,5615937.5,5834740.2597402595,6154452.05479452,5687025.316455696,5911513.157894737,6418214.285714285,5834740.2597402595,5285588.235294118,6071283.783783784,6154452.05479452,5834740.2597402595,5687025.316455696,6154452.05479452,5759935.897435897,5759935.897435897,5834740.2597402595,5546604.9382716045,6071283.783783784,5990333.333333333,5478963.414634147,6154452.05479452,5911513.157894737,5687025.316455696,5412951.807228915,5478963.414634147,5687025.316455696,6705597.014925373,6606985.294117647,5911513.157894737,5546604.9382716045,5546604.9382716045,5759935.897435897,6071283.783783784,5911513.157894737,5759935.897435897,5759935.897435897,5990333.333333333
Vulpes vulpes,1341554.054054054,2481875.0,2730952.380952381,4455921.052631579,6618333.333333333,7715853.658536585,3358653.846153846,8272916.666666667,4721641.791044776,1914864.8648648649,4198904.761904762,3796739.1304347827,7091071.428571428,5584375.0,7091071.428571428,6382142.857142857,2112234.0425531915,3656250.0,1521527.7777777778,7715853.658536585,3358653.846153846,2757638.888888889,3584375.0,2530357.1428571427,3234259.2592592593,5584375.0,4467500.0,3584375.0,3914864.864864865,7532142.857142857,3493000.0,2406034.4827586208,6204687.5,945476.1904761905,3234259.2592592593,4260294.117647059,7715853.658536585,7636538.461538462,4210000.0,5804573.1707317075,7532142.857142857,2730952.380952381,7532142.857142857,6204687.5,5477500.0,3358653.846153846,3171590.909090909,4866923.076923077,2069285.7142857143,2491964.285714286,1805000.0,7091071.428571428,5515277.777777778,2114393.9393939395,3011206.896551724,6267857.142857143,7356976.7441860465,4875000.0,4455633.802816901,3157500.0,10833750.0,8272916.666666667,7636538.461538462,10833750.0,1975000.0,3532926.8292682925,2406034.4827586208,3234259.2592592593,4057407.407407407,3133928.5714285714,4727380.952380952,3171590.909090909,6267857.142857143,7091071.428571428,2034848.4848484849,2816935.4838709678,5550000.0,7715853.658536585,7715853.658536585,6267857.142857143,4963750.0,2443103.4482758623,4389393.939393939,7445833.333333333,2745652.1739130435,5039705.882352941,4389393.939393939,3157500.0,6239930.555555556
Sus scrofa,1039583.3333333334,2079166.6666666667,3638541.6666666665,4455921.052631579,3796739.1304347827,6590625.0,1744791.6666666667,3493000.0,4721641.791044776,1984659.0909090908,3391423.076923077,2166250.0,3638541.6666666665,3638541.6666666665,3796739.1304347827,3796739.1304347827,1898369.5652173914,3638541.6666666665,1441447.3684210526,6456122.448979592,1744791.6666666667,2425694.4444444445,3118750.0,2728906.25,1675000.0,3638541.6666666665,3358653.846153846,3011206.896551724,3448809.523809524,6202941.176470588,1443965.5172413792,2816935.4838709678,3796739.1304347827,779687.5,1675000.0,3532926.8292682925,6456122.448979592,3358653.846153846,3638541.6666666665,5408806.818181818,6456122.448979592,3638541.6666666665,6327000.0,3638541.6666666665,4763043.478260869,1550925.9259259258,3011206.896551724,4721641.791044776,1810625.0,3234259.2592592593,1587727.2727272727,3493000.0,3358653.846153846,2495000.0,1675000.0,3638541.6666666665,6730851.063829787,3638541.6666666665,4584782.608695652,3493000.0,3493000.0,3493000.0,3638541.6666666665,3493000.0,2360135.135135135,3218888.888888889,3358653.846153846,1675000.0,3777586.206896552,3796739.1304347827,3638541.6666666665,3011206.896551724,3638541.6666666665,3493000.0,2360135.135135135,1163194.4444444445,4519285.714285715,6456122.448979592,6730851.063829787,3638541.6666666665,3638541.6666666665,2646212.121212121,3621250.0,3638541.6666666665,3118750.0,5039705.882352941,3368604.6511627906,3358653.846153846,5687025.316455696,3638541.6666666665
Rhea americana,4218000.0,5858333.333333333,6327000.0,4639041.095890411,7030000.0,25187500.0,5751818.181818182,7030000.0,4706933.962264151,5550000.0,7532142.857142857,6877173.9130434785,6730851.063829787,7189772.7272727275,6877173.9130434785,7356976.7441860465,5361864.406779661,7356976.7441860465,3766071.4285714286,33583333.333333336,5751818.181818182,5858333.333333333,6456122.448979592,6456122.448979592,5751818.181818182,7189772.7272727275,6877173.9130434785,6590625.0,7356976.7441860465,8871875.0,6083653.846153846,6590625.0,6877173.9130434785,2750869.565217391,5751818.181818182,6730851.063829787,12593750.0,7030000.0,6877173.9130434785,5666369.047619048,11956250.0,6327000.0,14392857.142857144,6730851.063829787,6730851.063829787,5858333.333333333,6877173.9130434785,4797451.923076923,4004430.379746835,7030000.0,4275000.0,6877173.9130434785,6730851.063829787,6590625.0,6202941.176470588,7532142.857142857,11194444.444444444,6730851.063829787,4535772.7272727275,6730851.063829787,7356976.7441860465,7030000.0,7030000.0,7356976.7441860465,5968867.924528302,6877173.9130434785,6730851.063829787,5751818.181818182,6877173.9130434785,7356976.7441860465,6327000.0,6730851.063829787,7532142.857142857,7030000.0,5649107.142857143,5550000.0,5541836.734693877,15512000.0,7750000.0,7532142.857142857,6202941.176470588,6456122.448979592,6877173.9130434785,7030000.0,6877173.9130434785,7189772.7272727275,7030000.0,6202941.176470588,6807196.96969697,7715853.658536585,6202941.176470588
Saguinus fuscicollis,830625.0,1661250.0,3545535.714285714,4398051.948051948,4725000.0,7030000.0,3358653.846153846,3591991.6666666665,4584782.608695652,2659285.714285714,3527080.0,4158333.3333333335,2362500.0,8272916.666666667,3580357.1428571427,7636538.461538462,1510227.2727272727,8272916.666666667,1500684.9315068494,7030000.0,3358653.846153846,1845833.3333333333,4512500.0,3102500.0,3234259.2592592593,8272916.666666667,7091071.428571428,4316304.347826087,3218888.888888889,6877173.9130434785,3234259.2592592593,3407407.407407407,975.0,238690.47619047618,3234259.2592592593,3811842.1052631577,7030000.0,2784722.222222222,4963750.0,5876234.567901234,7030000.0,3545535.714285714,6877173.9130434785,2362500.0,6086111.111111111,3118750.0,3680000.0,4793181.818181818,1957432.4324324324,4000000.0,639500.0,2506250.0,2003125.0,2486486.4864864866,3118750.0,7091071.428571428,6730851.063829787,6204687.5,4333561.643835616,4512500.0,5839705.882352941,2003125.0,5012500.0,5839705.882352941,2628676.470588235,3368604.6511627906,3680000.0,3234259.2592592593,4564583.333333333,7636538.461538462,4746428.571428572,3172413.793103448,7091071.428571428,3408333.3333333335,2792968.75,2568382.3529411764,5021428.571428572,7030000.0,7189772.7272727275,7091071.428571428,4746428.571428572,3002419.35483871,3914864.864864865,7091071.428571428,3545535.714285714,5192424.242424242,3532926.8292682925,4136458.3333333335,5834740.2597402595,6618333.333333333,3493000.0,7030000.0
Suncus murinus,1323666.6666666667,2363690.476190476,2435000.0,4576351.3513513515,4136458.3333333335,7030000.0,3118750.0,3818269.230769231,4393750.0,1914864.8648648649,3833782.6086956523,3234259.2592592593,4316304.347826087,4058333.3333333335,3818269.230769231,3844736.8421052634,2158152.1739130435,3478571.4285714286,1500684.9315068494,7030000.0,3118750.0,2545512.8205128205,2435000.0,2024285.7142857143,3011206.896551724,4058333.3333333335,3652500.0,2356451.6129032257,3811842.1052631577,7189772.7272727275,2728906.25,2907291.6666666665,3971000.0,919212.9629629629,3011206.896551724,3621250.0,7715853.658536585,4136458.3333333335,3652500.0,6025000.0,7532142.857142857,2435000.0,7189772.7272727275,3971000.0,3651666.6666666665,2910833.3333333335,2907291.6666666665,4584782.608695652,2011805.5555555555,3322619.0476190476,1601209.677419355,3971000.0,3818269.230769231,2180468.75,3011206.896551724,3652500.0,7715853.658536585,3478571.4285714286,4393750.0,2608928.5714285714,2922000.0,3818269.230769231,4136458.3333333335,2922000.0,1865277.7777777778,3368604.6511627906,3171590.909090909,3011206.896551724,3651666.6666666665,3478571.4285714286,4136458.3333333335,3171590.909090909,3652500.0,4727380.952380952,1767105.2631578948,2298026.3157894737,5021428.571428572,7030000.0,7715853.658536585,3652500.0,4316304.347826087,2024285.7142857143,3714102.564102564,3320454.5454545454,2809615.3846153845,5192424.242424242,3811842.1052631577,3652500.0,6154452.05479452,3176086.9565217393,3358653.846153846,7030000.0,4136458.3333333335
Trichechus inunguis,1163437.5,2326875.0,2361666.6666666665,4341666.666666667,3324107.1428571427,6456122.448979592,2910833.3333333335,3209482.7586206896,5021428.571428572,1689864.8648648649,3265814.814814815,3493000.0,3209482.7586206896,2530357.1428571427,3324107.1428571427,2530357.1428571427,1980319.1489361702,2834000.0,1480405.4054054054,6590625.0,2910833.3333333335,2515540.5405405406,2530357.1428571427,1825000.0,2816935.4838709678,2530357.1428571427,2443103.4482758623,2530357.1428571427,3218888.888888889,6590625.0,2816935.4838709678,1986718.75,3447222.222222222,853899.0825688073,2816935.4838709678,3292045.4545454546,6877173.9130434785,3324107.1428571427,2361666.6666666665,5804573.1707317075,6327000.0,2361666.6666666665,6590625.0,3324107.1428571427,4763043.478260869,2646212.121212121,1986718.75,5186065.573770491,1881168.831168831,1986718.75,1389179.1044776118,3209482.7586206896,3209482.7586206896,1513690.4761904762,2816935.4838709678,3080434.782608696,6456122.448979592,2530357.1428571427,4584782.608695652,2083823.5294117648,2443103.4482758623,3209482.7586206896,3447222.222222222,2443103.4482758623,1523750.0,3081914.8936170214,1926515.1515151516,2816935.4838709678,4213461.538461538,2725000.0,3102500.0,2050806.4516129033,3080434.782608696,3579807.6923076925,1792647.0588235294,2298026.3157894737,4942968.75,6590625.0,6877173.9130434785,3080434.782608696,2908593.75,1825000.0,3292045.4545454546,2285483.870967742,2083823.5294117648,5039705.882352941,3368604.6511627906,2146969.696969697,5759935.897435897,2443103.4482758623,2646212.121212121,6590625.0,3324107.1428571427,2214062.5
