,Mus musculus,Rattus norvegicus,Panthera leo,Triturus cristatus,Ateles paniscus,Branta canadensis,Camelus dromedarius,Cebus albifrons,Crocodylus siamensis,Echinops telfairi,Erinaceus europaeus,Hippopotamus amphibius,Lagothrix lagotricha,Lutra lutra,Macaca mulatta,Mellivora capensis,Microtus xanthognathus,Nasua nasua,Tursiops truncatus,Anas platyrhynchos,Camelus bactrianus,Cavia porcellus,Crocuta crocuta,Elephas maximus,Lama guanicoe,Martes foina,Mustela putorius,Paguma larvata,Sminthopsis crassicaudata,Struthio camelus,Tragelaphus strepsiceros,Tapirus terrestris,Callimico goeldii,Colobus guereza,Lama glama,Macropus giganteus,Phalacrocorax carbo,Papio cynocephalus,Rhinolophus ferrumequinum,Squalus acanthias,Vultur gryphus,Panthera onca,Aquila chrysaetos,Ateles geoffroyi,Balaenoptera acutorostrata,Bos taurus,Ceratotherium simum,Crocodylus niloticus,Dasyurus viverrinus,Equus zebra,Homo sapiens,Papio anubis,Saimiri sciureus,Scalopus aquaticus,Ovis aries,Ursus thibetanus,Accipiter gentilis,Ailuropoda melanoleuca,Alligator mississippiensis,Antrozous pallidus,Canis latrans,Cebus capucinus,Chlorocebus aethiops,Chrysocyon brachyurus,Dasypus novemcinctus,Didelphis virginiana,Equus caballus,Lama vicugna,Physeter catodon,Procyon lotor,Oryctolagus cuniculus,Talpa europaea,Ursus maritimus,Aotus trivirgatus,Bradypus tridactylus,Bubalus bubalis,Caretta caretta,Gallus gallus,Columba livia,Helarctos malayanus,Lepus europaeus,Loxodonta africana,Macropus rufus,Meles meles,Myotis velifer,Ornithorhynchus anatinus,Potorous tridactylus,Tadarida brasiliensis,Thunnus thynnus,Vulpes vulpes,Sus scrofa,Rhea americana,Saguinus fuscicollis,Suncus murinus,Trichechus inunguis,Lemur catta,Lynx lynx,Macropus eugenii,Ondatra zibethicus,Phoca vitulina,Pongo pygmaeus,Pteronura brasiliensis,Rangifer tarandus,Rhinoceros unicornis,Aythya affinis,Aythya marila,Myodes glareolus,Peromyscus leucopus,Marmota flaviventris,Peromyscus maniculatus,Tamias minimus,Peromyscus polionotus,Peromyscus gossypinus,Peromyscus eremicus,Peromyscus boylii,Castor fiber,Marmota caligata,Peromyscus truei,Ammotragus lervia,Mammuthus primigenius,Mesoplodon densirostris,Orycteropus afer,Panthera pardus,Balaenoptera omurai,Panthera tigris,Lipotes vexillifer,Delphinapterus leucas,Sousa chinensis,Ochotona princeps,Branta bernicla,Aythya americana,Cygnus atratus,Melanitta nigra,Melanitta perspicillata,Bucephala albeola,Bos indicus,Neophocaena phocaenoides,Kogia sima,Bison bison,Somateria mollissima,Aythya valisineria,Mergus merganser,Bucephala clangula,Mareca americana,Anas carolinensis,Aythya collaris,Anser albifrons,Lophodytes cucullatus,Histrionicus histrionicus,Tadorna tadornoides,Cygnus columbianus,Cygnus buccinator,Mergus serrator,Spatula clypeata,Melanitta fusca,Anas acuta
Mus musculus
Tursiops truncatus,2381521.7391304346,1304166.6666666667,1422727.2727272727,3420707.0707070706,1480405.4054054054,3678488.3720930233,1565000.0,1542957.7464788733,3515000.0,1441447.3684210526,1460666.6666666667,1587681.1594202898,1521527.7777777778,1542957.7464788733,1480405.4054054054,1542957.7464788733,1259195.4022988505,1542957.7464788733
Anas platyrhynchos,4162500.0,6083653.846153846,6456122.448979592,4576351.3513513515,7356976.7441860465,6768333.333333333,5968867.924528302,7030000.0,4797451.923076923,5550000.0,7532142.857142857,6877173.9130434785,7030000.0,7189772.7272727275,7189772.7272727275,7356976.7441860465,5361864.406779661,7356976.7441860465,3721764.705882353
Camelus bactrianus,1091562.5,1898369.5652173914,2816935.4838709678,4515333.333333333,3969318.1818181816,6083653.846153846,3493000.0,4721641.791044776,2239102.564102564,3040586.206896552,2364285.714285714,3796739.1304347827,3493000.0,3796739.1304347827,3358653.846153846,1679326.923076923,3638541.6666666665,1565000.0,5968867.924528302
Cavia porcellus,575903.6144578314,1225641.0256410257,2481875.0,4769718.309859155,1845833.3333333333,5858333.333333333,2030813.953488372,1795945.945945946,4652205.882352941,1899489.7959183673,2204425.0,2425694.4444444445,1748684.2105263157,2836428.5714285714,1748684.2105263157,2919852.9411764704,1086363.6363636365,3008333.3333333335,1386708.8607594937,5858333.333333333,2030813.953488372
Crocuta crocuta,1272756.4102564103,2256250.0,2293750.0,4703472.222222222,4512500.0,6327000.0,2910833.3333333335,4512500.0,4793181.818181818,1816666.6666666667,3040586.206896552,3234259.2592592593,4136458.3333333335,3186111.111111111,4727380.952380952,3373529.411764706,1946568.6274509805,3186111.111111111,1500684.9315068494,6327000.0,2910833.3333333335,2919852.9411764704
Elephas maximus,1224671.0526315789,2068333.3333333333,1864473.6842105263,4515333.333333333,3209482.7586206896,6730851.063829787,3118750.0,3209482.7586206896,5102419.354838709,1525000.0,2672030.303030303,2910833.3333333335,3324107.1428571427,2443103.4482758623,3209482.7586206896,2530357.1428571427,1861500.0,2624074.074074074,1542957.7464788733,6590625.0,3118750.0,2386538.4615384615,2083823.5294117648
Lama guanicoe,1105379.746835443,1857978.7234042552,2816935.4838709678,4515333.333333333,3796739.1304347827,5968867.924528302,9750000.0,3358653.846153846,4721641.791044776,2129878.048780488,2939233.3333333335,2256818.1818181816,3638541.6666666665,3358653.846153846,3493000.0,3234259.2592592593,1647641.5094339622,3493000.0,1565000.0,5858333.333333333,9750000.0,1984659.0909090908,2910833.3333333335,3234259.2592592593
Martes foina,1323666.6666666667,2481875.0,2493478.2608695654,4639041.095890411,8272916.666666667,7189772.7272727275,3493000.0,8272916.666666667,4652205.882352941,1968055.5555555555,4198904.761904762,3969318.1818181816,9927500.0,19927500.0,9025000.0,17415000.0,2158152.1739130435,7445833.333333333,1542957.7464788733,7189772.7272727275,3493000.0,2836428.5714285714,3186111.111111111,2443103.4482758623,3358653.846153846
Mustela putorius,1323666.6666666667,2421341.463414634,2294000.0,4576351.3513513515,7091071.428571428,6877173.9130434785,3358653.846153846,7636538.461538462,4584782.608695652,2024285.7142857143,3833782.6086956523,3796739.1304347827,9927500.0,6642500.0,7636538.461538462,5805000.0,2068229.1666666667,5584375.0,1542957.7464788733,6877173.9130434785,3358653.846153846,2836428.5714285714,2867500.0,2361666.6666666665,3234259.2592592593,9930000.0
Paguma larvata,1272756.4102564103,2363690.476190476,2546458.3333333335,4837857.142857143,4316304.347826087,6456122.448979592,3011206.896551724,4727380.952380952,4866923.076923077,1816666.6666666667,3040586.206896552,3638541.6666666665,4316304.347826087,3186111.111111111,4727380.952380952,3373529.411764706,2026020.4081632653,3018421.052631579,1521527.7777777778,6456122.448979592,3011206.896551724,2683108.108108108,2503611.111111111,2146969.696969697,3011206.896551724,3186111.111111111,3018421.052631579
