,Homo sapiens,Equus burchelli,Capra hircus,Equus grevyi,Equus asinus,Pongo pygmaeus,Aythya affinis,Aythya marila,Anser albifrons,Anas acuta,Lophodytes cucullatus,Mergus serrator,Cygnus atratus,Aythya collaris,Aythya americana,Melanitta nigra,Rattus norvegicus,Condylura cristata,Oryctolagus cuniculus,Scalopus aquaticus,Branta canadensis,Macaca mulatta,Loxodonta africana,Histrionicus histrionicus,Somateria mollissima,Spatula clypeata,Branta bernicla,Bucephala albeola,Mergus merganser,Melanitta fusca,Bucephala clangula,Melanitta perspicillata,Aythya valisineria,Anas carolinensis,Columba livia,Mareca americana,Aix sponsa,Tadorna tadornoides,Cygnus columbianus,Dendrocygna autumnalis,Cygnus buccinator,Anas platyrhynchos,Dendrocygna arborea
Homo sapiens
Oryctolagus cuniculus,2461111.111111111,3285714.285714286,3358653.846153846,3285714.285714286,3285714.285714286,2555769.230769231,6730851.063829787,6730851.063829787,7189772.7272727275,6730851.063829787,6590625.0,6590625.0,7030000.0,6730851.063829787,6730851.063829787,6590625.0,1786029.4117647058,3538461.5384615385
Scalopus aquaticus,968421.052631579,651041.6666666666,919210.5263157894,651041.6666666666,651041.6666666666,948453.6082474227,3071359.223300971,3071359.223300971,3101470.588235294,3101470.588235294,3071359.223300971,3071359.223300971,3071359.223300971,3071359.223300971,3071359.223300971,3071359.223300971,929292.9292929292,25231.57894736842,948453.6082474227
Branta canadensis,7532142.857142857,7715853.658536585,7532142.857142857,7908750.0,7908750.0,7532142.857142857,2456785.714285714,2456785.714285714,9157500.0,3384166.6666666665,1619485.0,2727000.0,2704900.0,2456785.714285714,2456785.714285714,3439500.0,7189772.7272727275,8325000.0,7189772.7272727275,3101470.588235294
Macaca mulatta,4039583.3333333335,5411764.705882353,4851388.888888889,5111111.111111111,5111111.111111111,3029687.5,7532142.857142857,7532142.857142857,7715853.658536585,7715853.658536585,7356976.7441860465,7356976.7441860465,7189772.7272727275,7532142.857142857,7532142.857142857,7356976.7441860465,2215000.0,4181818.1818181816,2555769.230769231,978723.4042553192,7715853.658536585
Loxodonta africana,3447222.222222222,2445192.3076923075,3011206.896551724,2543000.0,2543000.0,3579807.6923076925,6877173.9130434785,6877173.9130434785,7189772.7272727275,6877173.9130434785,7030000.0,7030000.0,7030000.0,6877173.9130434785,6877173.9130434785,7030000.0,2216071.4285714286,1986718.75,3002419.35483871,642171.7171717172,7189772.7272727275,3579807.6923076925
Histrionicus histrionicus,6732573.863636363,6732573.863636363,6582961.111111111,6889145.348837209,6889145.348837209,7053172.619047619,49372208.333333336,49372208.333333336,49372208.333333336,98744416.66666667,59246650.0,49372208.333333336,49372208.333333336,6302835.106382979,7053172.619047619,6171526.041666667,2876050.9708737866,59246650.0,6889145.348837209,6582961.111111111
Somateria mollissima,7189772.7272727275,7189772.7272727275,7030000.0,7356976.7441860465,7356976.7441860465,7532142.857142857,2120125.0,2120125.0,3436250.0,7535833.333333333,3165400.0,2120125.0,2120125.0,6730851.063829787,7532142.857142857,6590625.0,3071359.223300971,3439500.0,7356976.7441860465,7030000.0
Spatula clypeata,7715853.658536585,7715853.658536585,7356976.7441860465,7908750.0,7908750.0,7715853.658536585,3767916.6666666665,3767916.6666666665,3954166.6666666665,4466500.0,3376856.25,4761250.0,2103833.3333333335,3767916.6666666665,3767916.6666666665,5651875.0,7189772.7272727275,8111538.461538462,6877173.9130434785,3132178.217821782,2900714.285714286,7908750.0,7030000.0,74058312.5,5651875.0
Branta bernicla,7532142.857142857,7715853.658536585,7532142.857142857,7908750.0,7908750.0,7532142.857142857,2456785.714285714,2456785.714285714,9157500.0,3384166.6666666665,1619485.0,2727000.0,2704900.0,2456785.714285714,2456785.714285714,3439500.0,7189772.7272727275,8325000.0,7189772.7272727275,3101470.588235294,7715853.658536585,7189772.7272727275,59246650.0,3439500.0,2900714.285714286
Bucephala albeola,7189772.7272727275,7189772.7272727275,7030000.0,7356976.7441860465,7356976.7441860465,7532142.857142857,2120125.0,2120125.0,3436250.0,7535833.333333333,3165400.0,2120125.0,2120125.0,6730851.063829787,7532142.857142857,6590625.0,3071359.223300971,3439500.0,7356976.7441860465,7030000.0,5651875.0,3439500.0
Mergus merganser,7189772.7272727275,7189772.7272727275,7030000.0,7356976.7441860465,7356976.7441860465,7532142.857142857,2656250.0,2656250.0,2842500.0,6348333.333333333,2452900.0,2656250.0,2656250.0,6730851.063829787,7532142.857142857,6590625.0,3071359.223300971,2727000.0,7356976.7441860465,7030000.0,4761250.0,2727000.0
Melanitta fusca,7189772.7272727275,7189772.7272727275,7030000.0,7356976.7441860465,7356976.7441860465,7532142.857142857,2120125.0,2120125.0,3436250.0,7535833.333333333,3165400.0,2120125.0,2120125.0,6730851.063829787,7532142.857142857,6590625.0,3071359.223300971,3439500.0,7356976.7441860465,7030000.0,5651875.0,3439500.0
Bucephala clangula,7189772.7272727275,7189772.7272727275,7030000.0,7356976.7441860465,7356976.7441860465,7532142.857142857,2120125.0,2120125.0,3436250.0,7535833.333333333,3165400.0,2120125.0,2120125.0,6730851.063829787,7532142.857142857,6590625.0,3071359.223300971,3439500.0,7356976.7441860465,7030000.0,5651875.0,3439500.0
Melanitta perspicillata,7189772.7272727275,7189772.7272727275,7030000.0,7356976.7441860465,7356976.7441860465,7532142.857142857,2120125.0,2120125.0,3436250.0,7535833.333333333,3165400.0,2120125.0,2120125.0,6730851.063829787,7532142.857142857,6590625.0,3071359.223300971,3439500.0,7356976.7441860465,7030000.0,5651875.0,3439500.0
Aythya valisineria,7356976.7441860465,7356976.7441860465,7030000.0,7532142.857142857,7532142.857142857,7356976.7441860465,3436250.0,4521500.0,1733320.8333333333,2656250.0,1582700.0,2120125.0,6730851.063829787,7532142.857142857,6730851.063829787,3071359.223300971,2456785.714285714,7532142.857142857,6877173.9130434785,49372208.333333336,2120125.0,3767916.6666666665,2456785.714285714,2120125.0,2656250.0,2120125.0,2120125.0,2120125.0
Anas carolinensis,7532142.857142857,7532142.857142857,7189772.7272727275,7715853.658536585,7715853.658536585,7532142.857142857,4521500.0,4521500.0,4745000.0,4502475.0,6348333.333333333,2366812.5,4521500.0,4521500.0,7535833.333333333,7030000.0,7908750.0,6730851.063829787,3101470.588235294,3384166.6666666665,7715853.658536585,6877173.9130434785,98744416.66666667,7535833.333333333,2883175.0,3384166.6666666665,7535833.333333333,6348333.333333333,7535833.333333333,7535833.333333333,7535833.333333333,4521500.0
Columba livia,5751818.181818182,5751818.181818182,5751818.181818182,5751818.181818182,5751818.181818182,5858333.333333333,3004285.714285714,3004285.714285714,3004285.714285714,3004285.714285714,3004285.714285714,3004285.714285714,3004285.714285714,3004285.714285714,3004285.714285714,3004285.714285714,5186065.573770491,6327000.0,5454310.344827586,3101470.588235294,3004285.714285714,5858333.333333333,5361864.406779661,8463807.142857144,3004285.714285714,3092647.0588235296,3004285.714285714,3004285.714285714,3004285.714285714,3004285.714285714,3004285.714285714,3004285.714285714,3004285.714285714,3004285.714285714
Mareca americana,7532142.857142857,7532142.857142857,7189772.7272727275,7715853.658536585,7715853.658536585,7532142.857142857,4521500.0,4521500.0,4745000.0,4502475.0,6348333.333333333,2366812.5,4521500.0,4521500.0,7535833.333333333,7030000.0,7908750.0,6730851.063829787,3101470.588235294,3384166.6666666665,7715853.658536585,6877173.9130434785,98744416.66666667,7535833.333333333,4466500.0,3384166.6666666665,7535833.333333333,6348333.333333333,7535833.333333333,7535833.333333333,7535833.333333333,4521500.0,3004285.714285714
Aix sponsa,7356976.7441860465,7356976.7441860465,7030000.0,7532142.857142857,7532142.857142857,7356976.7441860465,2856250.0,2856250.0,2508500.0,4844166.666666667,581231.25,1965625.0,861333.3333333334,2856250.0,2856250.0,2856250.0,6877173.9130434785,7715853.658536585,6730851.063829787,3101470.588235294,1520416.6666666667,7532142.857142857,6877173.9130434785,74058312.5,2856250.0,3633125.0,1520416.6666666667,2856250.0,1965625.0,2856250.0,2856250.0,2856250.0,2856250.0,4844166.666666667,2841891.891891892,4844166.666666667
Tadorna tadornoides,7532142.857142857,7532142.857142857,7189772.7272727275,7715853.658536585,7715853.658536585,7532142.857142857,2618000.0,2618000.0,2897375.0,4526500.0,685962.5,3454750.0,1133166.6666666667,2618000.0,2618000.0,5236000.0,7030000.0,7908750.0,6877173.9130434785,3101470.588235294,2723166.6666666665,7715853.658536585,7030000.0,148116625.0,5236000.0,3394875.0,2723166.6666666665,5236000.0,3454750.0,5236000.0,5236000.0,5236000.0,2618000.0,4526500.0,3004285.714285714,4526500.0,599250.0
Cygnus columbianus,7715853.658536585,7908750.0,7715853.658536585,8111538.461538462,8111538.461538462,7715853.658536585,1978375.0,1978375.0,2824083.3333333335,2704928.5714285714,1121154.1666666667,2044083.3333333333,323953.5714285714,1978375.0,1978375.0,2637833.3333333335,7189772.7272727275,7908750.0,7030000.0,3132178.217821782,2704900.0,7908750.0,7356976.7441860465,49372208.333333336,2637833.3333333335,3155750.0,2704900.0,2637833.3333333335,2044083.3333333333,2637833.3333333335,2637833.3333333335,2637833.3333333335,1978375.0,2704928.5714285714,3092647.0588235296,2704928.5714285714,969000.0,1133166.6666666667
Dendrocygna autumnalis,7030000.0,7189772.7272727275,7532142.857142857,7356976.7441860465,7356976.7441860465,7356976.7441860465,2094444.4444444445,2094444.4444444445,2495937.5,2195750.0,1392846.4285714286,2183928.5714285714,1686333.3333333333,2094444.4444444445,2094444.4444444445,2692857.1428571427,6590625.0,7908750.0,6730851.063829787,3071359.223300971,2757916.6666666665,7532142.857142857,7030000.0,42319035.71428572,2692857.1428571427,1996136.3636363635,2757916.6666666665,2692857.1428571427,2183928.5714285714,2692857.1428571427,2692857.1428571427,2692857.1428571427,2094444.4444444445,2195750.0,3004285.714285714,2195750.0,1077500.0,1403142.857142857,1686333.3333333333
Cygnus buccinator,7715853.658536585,7908750.0,7715853.658536585,8111538.461538462,8111538.461538462,7715853.658536585,1284375.0,1284375.0,1898750.0,1911785.7142857143,195820.83333333334,1118750.0,943142.8571428572,1284375.0,1284375.0,1712500.0,7189772.7272727275,7908750.0,7030000.0,3132178.217821782,1594500.0,7908750.0,7356976.7441860465,49372208.333333336,1712500.0,2230416.6666666665,1594500.0,1712500.0,1118750.0,1712500.0,1712500.0,1712500.0,1284375.0,1911785.7142857143,3092647.0588235296,1911785.7142857143,275000.0,207833.33333333334,1069444.4444444445
Anas platyrhynchos,7532142.857142857,7532142.857142857,7189772.7272727275,7715853.658536585,7715853.658536585,7532142.857142857,4521500.0,4521500.0,4745000.0,4502475.0,6348333.333333333,2366812.5,4521500.0,4521500.0,7535833.333333333,7030000.0,7908750.0,6730851.063829787,3101470.588235294,3384166.6666666665,7715853.658536585,6877173.9130434785,98744416.66666667,7535833.333333333,4466500.0,3384166.6666666665,7535833.333333333,6348333.333333333,7535833.333333333,7535833.333333333,7535833.333333333,4521500.0,3004285.714285714,4844166.666666667,4526500.0,2704928.5714285714,2195750.0,1911785.7142857143
